customer_id,first_name,last_name,email,country,Total_spent,Country_rank,overall_rank
526,KARL,SEAL,KARL.SEAL@sakilacustomer.org,"United States",221.55,1,1
148,ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,Réunion,216.54,1,2
144,CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,Belarus,195.58,1,3
178,MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,Brazil,194.61,1,4
137,RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,Netherlands,194.61,1,4
459,TOMMY,COLLAZO,TOMMY.COLLAZO@sakilacustomer.org,Iran,186.62,1,6
469,WESLEY,BULL,WESLEY.BULL@sakilacustomer.org,Spain,177.60,1,7
468,TIM,CARY,TIM.CARY@sakilacustomer.org,India,175.61,1,8
236,MARCIA,DEAN,MARCIA.DEAN@sakilacustomer.org,Philippines,175.58,1,9
181,ANA,BRADLEY,ANA.BRADLEY@sakilacustomer.org,"United States",174.66,2,10
176,JUNE,CARROLL,JUNE.CARROLL@sakilacustomer.org,Algeria,173.63,1,11
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,Sudan,169.65,1,12
259,LENA,JENSEN,LENA.JENSEN@sakilacustomer.org,India,168.68,2,13
522,ARNOLD,HAVENS,ARNOLD.HAVENS@sakilacustomer.org,Philippines,167.67,2,14
410,CURTIS,IRBY,CURTIS.IRBY@sakilacustomer.org,Canada,167.62,1,15
403,MIKE,WAY,MIKE.WAY@sakilacustomer.org,India,166.65,3,16
295,DAISY,BATES,DAISY.BATES@sakilacustomer.org,"Russian Federation",162.62,1,17
209,TONYA,CHAPMAN,TONYA.CHAPMAN@sakilacustomer.org,India,161.68,4,18
373,LOUIS,LEONE,LOUIS.LEONE@sakilacustomer.org,Philippines,161.65,3,19
470,GORDON,ALLARD,GORDON.ALLARD@sakilacustomer.org,Yemen,160.68,1,20
187,BRITTANY,RILEY,BRITTANY.RILEY@sakilacustomer.org,Ukraine,159.72,1,21
550,GUY,BROWNLEE,GUY.BROWNLEE@sakilacustomer.org,China,159.68,1,22
462,WARREN,SHERROD,WARREN.SHERROD@sakilacustomer.org,"Russian Federation",159.67,2,23
267,MARGIE,WADE,MARGIE.WADE@sakilacustomer.org,China,159.64,2,24
293,MAE,FLETCHER,MAE.FLETCHER@sakilacustomer.org,Spain,158.69,2,25
372,STEVE,MACKENZIE,STEVE.MACKENZIE@sakilacustomer.org,Indonesia,158.66,1,26
368,HARRY,ARCE,HARRY.ARCE@sakilacustomer.org,Iran,157.65,2,27
273,PRISCILLA,LOWE,PRISCILLA.LOWE@sakilacustomer.org,Mexico,157.65,1,27
346,ARTHUR,SIMPKINS,ARTHUR.SIMPKINS@sakilacustomer.org,"Russian Federation",155.68,3,29
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,Bangladesh,155.65,1,30
75,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,Taiwan,155.59,1,31
197,SUE,PETERS,SUE.PETERS@sakilacustomer.org,China,154.60,3,32
119,SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,Egypt,153.66,1,33
532,NEIL,RENNER,NEIL.RENNER@sakilacustomer.org,Vietnam,152.68,1,34
390,SHAWN,HEATON,SHAWN.HEATON@sakilacustomer.org,Thailand,152.67,1,35
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,"Holy See (Vatican City State)",152.66,1,36
274,NAOMI,JENNINGS,NAOMI.JENNINGS@sakilacustomer.org,India,152.65,5,37
506,LESLIE,SEWARD,LESLIE.SEWARD@sakilacustomer.org,Indonesia,152.65,2,37
366,BRANDON,HUEY,BRANDON.HUEY@sakilacustomer.org,Turkey,152.63,1,39
454,ALEX,GRESHAM,ALEX.GRESHAM@sakilacustomer.org,Mexico,151.67,2,40
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,Yugoslavia,151.67,1,40
211,STACEY,MONTGOMERY,STACEY.MONTGOMERY@sakilacustomer.org,China,151.66,4,42
196,ALMA,AUSTIN,ALMA.AUSTIN@sakilacustomer.org,Germany,151.65,1,43
439,ALEXANDER,FENNELL,ALEXANDER.FENNELL@sakilacustomer.org,Italy,151.64,1,44
257,MARSHA,DOUGLAS,MARSHA.DOUGLAS@sakilacustomer.org,Mozambique,151.63,1,45
360,RALPH,MADRIGAL,RALPH.MADRIGAL@sakilacustomer.org,"Puerto Rico",150.66,1,46
371,BILLY,POULIN,BILLY.POULIN@sakilacustomer.org,Philippines,149.65,4,47
513,DUANE,TUBBS,DUANE.TUBBS@sakilacustomer.org,Nauru,148.69,1,48
